2000,0,3,SI3,0,0,0,600,2,CO3,0,0,0,600,4,RESAMP,0,0,0,800,0,PRD,1,0,0,70,1,PRD,10.000,1,1
DRIVE S300
81,200.0
VCMD,V,VBUS,I
450,449.800,585,92.62
450,448.5,583,90.79
450,468,582,65.48
450,463.800,577,39.99
450,465.100,574,16.82
450,464,634,-5.548
450,455.699,737,-16.69
450,450.300,735,-9.945
450,454.699,736,-9.987
450,452.699,735,-7.384
450,457.199,735,-8.195
450,454.399,734,-5.847
450,455.600,734,-4.78
450,452.300,735,-3.073
450,453.199,733,-2.646
450,452.100,729,-1.621
450,454,715,-1.451
450,448.800,724,-0.128
450,450.600,694,0
450,447.100,686,1.237
450,437.100,550,21.77
450,439,526,41.87
450,439.300,500,61.93
450,439.300,482,83.06
450,439.199,482,105
450,456.600,486,99.96
450,452.800,498,95.87
450,451.600,507,95.4
450,451,513,94.41
450,449.300,525,92.75
450,463.399,534,83.1
450,466.5,533,50.2
450,463.600,537,25.61
450,462.699,564,3.713
450,463.5,738,-19.42
450,446.600,736,-10.03
450,452.5,736,-10.12
450,451.300,736,-7.682
450,455.100,736,-7.682
450,453.399,735,-5.975
450,454.800,735,-5.207
450,452.300,733,-3.201
450,452.699,733,-2.731
450,451.899,732,-1.579
450,451.399,727,-0.768
450,448.100,726,0.085
450,449.100,711,0.042
450,447.899,695,1.536
450,436.800,568,24.63
450,439.300,565,44.09
450,440.100,554,63.43
450,437.699,536,84.43
450,442,526,100.8
450,455.800,519,95.44
450,449.5,515,95.27
450,449.600,510,92.71
450,448,503,93.22
450,450.600,498,90.1
450,467.699,507,68.21
450,463.800,536,40.42
450,465.399,557,17.33
450,463.699,610,-4.951
450,455.800,740,-16.69
450,448.5,735,-8.92
450,453.699,736,-9.518
450,451.399,735,-6.914
450,456.699,735,-8.024
450,453.899,734,-5.42
450,454.5,734,-4.823
450,451.699,734,-2.817
450,453.699,734,-2.689
450,450,727,-0.81
450,450,721,-0.426
450,447.600,719,0.426
450,449.399,694,0.213
450,445.300,659,3.286
450,437.899,559,28.6
450,439,569,48.23
450,439.399,578,67.87
450,438.399,580,87.33
450,444.100,583,104.2
